Sr No.,Drawing,Source of data,Common name Marathi,Common name English,Scientific Name,Name,Tag,Link to artwork,Artist name,Grove type / Category,Short description,Artist's social media
112,,8 NATURALS,Halad kunku,Blood flower,Asclepias curassavica,हळद कुंकू,Shrub,,,Flower,"It is grown as an ornamental garden plant and as a food source for some butterflies, It has been used to treat pneumonia, pyoderma, and inflammation of the spleen. This plant is used as a contraceptive and snakebite remedy. The Ayurvedic healing system of India also uses this plant for its purgative effects to help stomach tumors, stomach parasites, and gonorrhea. The perennial growth of the plant takes ill effect on the monarch butterfly’s migratory patterns and may have other physiological effects.",
102,,8 NATURALS,Sontaka,,Hedychium coronarium,लाल सोनटक्का,Grass,,,,,
209,,8 NATURALS,,, ,बंगाली संत्रा,Tree,,,,,
189,[object Object],8 NATURALS,Payar,,Ficus arnottiana,पायर,Tree,https://drive.google.com/file/d/18VL6pN5ZlvNsJh5T8IDNe5LQSA-q_xav/view?usp=sharing,Rohit Thomas Issac,,,IG- @thomasdoes.art
237,,8 NATURALS,Sagargota,Fever nut,Caesalpinia crista,सागर गोटा,Climbing Shrub,,,All parts of the tree,"Davana is commonly found along the riverbanks and in the tidal forests that are located close to the Eastern seacoast. It is used for the treatment of various diseases and disorders such as malaria fever, abdominal pain, rheumatoid arthritis, diabetes, and cystic fibrosis. carbohydrates, Alkaloids, Glycosides, tannins, flavonoids & Coumarins are present in this plant. Extracts exhibited potent antioxidant properties and also protected DNA and cell membrane from oxidative damage. Hence this can be used in herbal medicine for treating oxidative stress mediated diseases. ",
148,[object Object],8 NATURALS,Tamalpatra,Indian Bay leaf,,तमालपत्र,Tree,https://drive.google.com/file/d/1KAG17fNPGDV5ycuDsXxEpYw7mMUrfIg-/view?usp=sharing,Medha Bhagwat,Leaves,"Cinnamomum tamala is also called Indian bay leaf, tejpat, tejapatta, Malabar leaf, Indian bark, Indian cassia, malabathrum, or Tamalpatra. Its leaves have a clove-like aroma with a hint of peppery taste and esteemed for its aromatic leaves as a spice. They are used for culinary and medicinal purposes. The leaves are used extensively, in the cuisines of India, Nepal, and Bhutan, particularly in the Mughlai cuisine of North India and Nepal and in tsheringma herbal tea in Bhutan. They are often used in kumbilappam or chakka-ada, an authentic sweet from Kerala, infusing their characteristic flavor to the dumplings. The plant is harvested from the wild and also often cultivated. Soil pH plays a vital role in plant growth and its production. ",IG- @_medhu_vada_
214,[object Object],8 NATURALS,Moha,,Madhuca longifolia,मोह,Tree,https://drive.google.com/file/d/1dW4zFJkX5jB4LCopf6G8WL4SO8smhJUn/view?usp=sharing,Medha Bhagwat,,,IG- @_medhu_vada_
140,[object Object],8 NATURALS,Tembhurni,,Diospyros peregrina,टेम्भूर्णी,Tree,https://drive.google.com/file/d/1UUG1eu4g69Kav71Uf0iduesP5L1TBbgy/view?usp=sharing,Vanshika Kaila,,,IG- @van.imite
204,,8 NATURALS,Kuncha Grass,,Thysanolaena latifolia,कुंचा गवत,Grass,,,,,
90,[object Object],8 NATURALS,Rai Avla,,Phyllanthus acidus,रायआवळा,Tree,https://drive.google.com/file/d/1eMUUZJC2AZw5dlJD2dGtYbSaqFKbvsUb/view?usp=sharing,Nonisha Negi,,,IG- @n0nisha
151,[object Object],8 NATURALS,Dev Chapha,,Plumeria actifilia,देव चाफा,Tree,https://drive.google.com/file/d/1yJk8-KGue7cvFiTiTu5_9VSO5PQa1vYH/view?usp=drive_link,Himani,,,
187,,8 NATURALS,,White Ginger Lily,,पांढरा सोनटक्का,Shrub,,,,,
47,,8 NATURALS,Karvi,,Strobilanthes callosus,कारवी,Shrub,,,,,
107,[object Object],8 NATURALS,Shevga,Drumstick tree,Moringa oleifera,शेवगा,Tree,https://drive.google.com/file/d/1CWfy-kNkbhE3QT1voEn3iIazsuc0lXSM/view?usp=sharing,Nonisha Negi,,,IG- @n0nisha
197,[object Object],8 NATURALS,Babhul,Acacia nilotica /Gum arabic ,Vachellia nilotica,बाभूळ,Tree,https://drive.google.com/file/d/1b-ixssOCZg4pxwPeQ-IaeTT4Z1PJgeYN/view?usp=sharing,Rohit Thomas Issac,,,IG- @thomasdoes.art
246,,8 NATURALS,,, ,धवन,Tree,,,,,
133,,8 NATURALS,Jaswand,Hibiscus,Hibiscus rosa-sinensis,जास्वंद,Shrub,,,,,
59,,8 NATURALS,Kallawi,,Gloriosa superba,कळलावी,Climber,,,,,
234,,8 NATURALS,Samudrashok,Elephant Creeper,Argyreia nervosa,समुद्रशोक,Climber,,,Root,"In the traditional medicinal system, Samudrashiok is mainly used to treat sexual disorders, skin disorders, ulcers, gonorrhoea, diabetes, etc. In addition, the seeds of this plant are hallucinogenic. It is often used as a brain tonic to enhance mental clarity. It is believed to possess anti-inflammatory properties that may help alleviate joint pain and stiffness. The plant is also used as appetizer, In Sanskrit, it is called as Vridhadaraka meaning 'anti-aging'. It cannot, however, be ruled out that the plant may have been utilised as an intoxicant in its native India at some time in the past,",
67,,8 NATURALS,Khadshingi,,Radermachera xylocarpa,खडशिंगी,Tree,,,,,
247,,8 NATURALS,Phadya Nivdung,,opuntia elatior,फड्या निवडुंग,Herb,,,,,
85,[object Object],8 NATURALS,Rametha,,Gnidia glauca,रामेठा,Tree,https://drive.google.com/file/d/1DRn5umHFJJZY2SZed7cwrhD1HOtlo53q/view?usp=sharing,Nonisha Negi,,,IG- @n0nisha
63,,8 NATURALS,Black Gunj,,,काळी गुंज,Climber,,,,,
110,,8 NATURALS,Hadga,,Sesbania grandiflora,हादगा,Tree,,,,,
70,[object Object],8 NATURALS,Guggul,Indian bdellium-tree,Commiphora wightii,गुग्गुळ,Tree,https://drive.google.com/file/d/12eE08c8pJeITVLG1C8vifVGVaNlmYnWO/view?usp=sharing,Vatsala Shukla,Bark,"Guggul produces a fragrant resin called gugal, guggul or gugul, that is used in incense and vedic medicine (or ayurveda). It is mentioned in Ayurvedic texts dating back to 600 BC. The species is native to western India. It prefers arid and semi-arid climates and is tolerant of poor soil. It grows as a shrub or small tree. The branches are thorny. The plant is sought for its gummy resin, which is harvested from the plant's bark through the process of tapping. In India, guggul is cultivated commercially. The resin has a fragrance similar to that of myrrh and is commonly used in incense and perfumes. It is available in granular form called dhoop, an incense from India, which is burned over hot coals. This produces a fragrant, dense smoke. Because of its use in traditional medicine, Guggul has been overharvested, and has become extremely scarce in its two habitats in India, Gujarat and Rajasthan. The World Conservation Union (IUCN) has enlisted it in its IUCN Red List of threatened species. Several efforts are in place to address this situation.",
51,[object Object],8 NATURALS,Kanchan,Orchid Tree,Bauhinia variegata,कांचन,Tree,https://drive.google.com/file/d/1E1-zdhonsIMDOA4v3cehn19VZi9YpMQi/view?usp=sharing,Vrushali Mehta,Flower,"Kanchan is a multipurpose tree, particularly as a source of fodder in rural economies. Its wood is used for agricultural implements and the bark for tanning. The tree is very handsome when in flower and is widely planted as an ornamental. Kanchan corrects the imbalance in hormones and helps in relieving menstrual disorders. The bark is traditionally used as tonic and in treatment of ulcers. It is also useful in skin diseases. The roots are used as antidote to snake poison. It is also a food plant. The leaves, flower buds, flowers, and young seedpods are cooked and eaten as vegetable. ",
119,[object Object],8 NATURALS,Hanuman phal,Soursop,Annona cherimola,हनुमान फळ,Tree,https://drive.google.com/file/d/1CPPZwTprFbbcp7UxYeBxv1e3DoETOQD1/view?usp=drive_link,Anushree Nakhre,Fruit,"Mark Twain called the cherimoya ""the most delicious fruit known to men"". The short-lived flowers open as female, then progress to a later, male stage in a matter of hours. For fruit production, cultivators must either rely upon the wind to spread pollen in dense orchards or else use hand pollination. In horticulture, growers are often advised to grow cherimoya in full sun. Cherimoya fruits are commercially classified according to degree of surface irregularity. Hanuman phal is very helpful in fighting digestive disorders. People claim its leaves help kill cancerous cells better than chemotherapy and has no side effects. Cherimoya seeds are poisonous if crushed open. Moreover, an extract of the bark can induce paralysis if injected. ",
71,,8 NATURALS,,,Cymbopogon,गवती चहा,Grass,,,,,
200,[object Object],8 NATURALS,Bartondi,,Morinda pubescens,बारतोंडी,Tree,https://drive.google.com/file/d/1PjflUfZ67psu8MYgDjRjO1Nt4G3b82OM/view?usp=drive_link,Anushree,,,
163,,8 NATURALS,Kali Nirgudi,,,काळी निरगुडी,Shrub,,,,,
53,,8 NATURALS,,,Citrus  × aurantiifolia,कागदी ,Shrub,,,,,
161,[object Object],8 NATURALS,Nagchafa,,Mesua ferrea,नागचाफा,Tree,https://drive.google.com/file/d/1HzIDuOBOG6fUOs5poIdhsLdPZoXyMVpk/view?usp=sharing,Nonisha Negi,,,IG- @n0nisha
45,[object Object],8 NATURALS,Pandhara Kanchan,White Orchid tree,,पांढरा कांचन,Tree,https://drive.google.com/file/d/1Gz0iXzat8WWbyMVm1vieTNt2nj_Rrc6F/view?usp=sharing,Vanshika Kaila,Flower,"Bauhinia Acuminata thrives best in hot, humid, and tropical conditions.  When the temperature goes lower, Bauhinia Acuminata sheds its leaves but is able to rebound quickly. Mostly an ornamental plant, its roots are used by the Javanese to treat cough and cold and in India the leaves and bark are used to treat asthma. It is also used in many culinary dishes of Odisha. This erect shrub is widely known for its stunning blooms, which resemble orchids quite closely. The Bauhinia Acuminata blooms have a pleasant aroma, five white petals, ten yellow-tipped stamens, and a green stigma. Bauhinia Acuminata even have the potential to become excellent bonsai plants,",IG- @van.imite
223,,8 NATURALS,Mendi,,Lawsonia inermis,मेंदी,Shrub,,,,,
162,,8 NATURALS,Nirgudi,,Vitex negundo,निरगुडी,Shrub,,,,,
1,[object Object],8 NATURALS,Apta,Bidi Leaf ,Bauhinia racemosa,आपटा,Tree,https://drive.google.com/file/d/1Ci7c4pcxoKO3QAnpnqnwr2vRwam6riqn/view?usp=sharing,Madhumita Laddha,Flower,"The stem bark is an astringent and it is used to treat headache, fever, skin diseases and tumors. In Ayurveda the bark is useful for the treatment of malaria, dysentery and diarrhea. Inner bark used to make ropes. The leaves are used for making bidis. Young leaves are made into delicious chutney. A good shade tree, honey bees forage on the flowers. The wood is used in making agricultural implements. The fruits and leaves are preferred by cattle and elephants. ",
3,[object Object],8 NATURALS,Anjeer,Fig,Ficus carica,अंजीर,Tree,https://drive.google.com/file/d/17PyfCJN3hFLf6wQ4aX1lvbX2Vw8oo7aj/view?usp=sharing,Medha Bhagwat,Fruit,,IG- @_medhu_vada_
5,[object Object],8 NATURALS,Seeta Ashok,Ashoka tree ,Saraca asoca,सीता अशोक,Tree,https://drive.google.com/file/d/1fKQha_2cxlU8o1sKHoEbOQCRPA8vJpr2/view?usp=sharing,Rohit Thomas Issac,,,IG- @thomasdoes.art
2,[object Object],8 NATURALS,Arjun,Arjuna Tree,Terminalia arjuna,अर्जुन,Tree,https://drive.google.com/file/d/1uUGIiqyFY7SPV_OzprP220eo6OOCBhSi/view?usp=sharing,Medha Bhagwat,,,IG- @_medhu_vada_
6,[object Object],8 NATURALS,Korphad,Aloe Vera,Aloe vera,कोरफड,Herb,https://drive.google.com/file/d/1f2Shm3GhWcqT6z4aNQ65kSyY3So5Qg7i/view?usp=sharing,Madhumita Laddha,Leaves,"Aloe vera is a succulent plant, and is considered an invasive species in many world regions. It is cultivated for commercial products, mainly as a skin treatment especially face, used over centuries. The species is attractive for decorative purposes, and succeeds indoors as a potted plant. Aloe vera has shown other therapeutic properties. Traditionally, this medicinal plant has been employed to treat skin problems (burns, wounds, and anti-inflammatory processes, and insect bites,). Some people have allergic reactions. Oral ingestion of aloe vera extracts can be dangerous, because it causes reactions which are not yet fully understood. ",
7,,8 NATURALS,Akkal Kadha,,,अकल काढा,Herb,,,,,
10,[object Object],8 NATURALS,Ambulaki,,Elaeagnus latifolia,आंबुळकी,Climber,https://drive.google.com/file/d/1U1MfNNOWIkQLZEwKNSK9cfSM1ZTPnoG6/view?usp=sharing,Madhumita Laddha,,,
8,[object Object],8 NATURALS,Amba,Mango,Mangifera indica,आंबा,Tree,https://drive.google.com/file/d/15zjzUFiybR4jOiCrcO7kRYq_LbXGT0jk/view?usp=sharing,Rohit Thomas Issac,Fruit,,IG- @thomasdoes.art
9,[object Object],8 NATURALS,Mahalung,,Citrus medica,महाळुंग ,Tree,https://drive.google.com/file/d/1BMJMpuN4Z8CvxfPsZKSvgo9x7QmxUDWH/view?usp=sharing,Rohit Thomas Issac,,,IG- @thomasdoes.art
12,[object Object],8 NATURALS,Arjun,,Terminalia arjuna,अर्जुन,Tree,https://drive.google.com/file/d/1kEr5WhkFjEE0b8NDO4IAcA0atB2MZZNt/view?usp=sharing,Rohit Thomas Issac,,,IG- @thomasdoes.art
11,[object Object],8 NATURALS,Bija,,Pterocarpus marsupium,बीजा,Tree,https://drive.google.com/file/d/1HlpD3p82HjHJ45G3YeKbcCVFIWPYFlQh/view?usp=sharing,Rohit Thomas Issac,,,IG- @thomasdoes.art
13,[object Object],8 NATURALS,Anjan,,Hardwickia binata,अंजन,Tree,https://drive.google.com/file/d/1K9Ijy0nV7ukHHXUD7CJtly4_CTxQ10U-/view?usp=sharing,Rohit Thomas Issac,,,IG- @thomasdoes.art
14,[object Object],8 NATURALS,Ashwagandha,,Withania somnifera,अश्वगंधा,Shrub,https://drive.google.com/file/d/1jP72UEAD5hBMeLG6ced5_748K-OWrH58/view?usp=sharing,Shreya Deshpande,,,
18,[object Object],8 NATURALS,Idlimbu,,Citrus jambhiri,इडी ,Shrub,https://drive.google.com/file/d/1M4njhroUYQSQsU244iuBe9MX4N2_frnu/view?usp=sharing,Shreya Deshpande,,,
17,,8 NATURALS,,, …,आवळा मोर,Tree,,,,,
16,[object Object],8 NATURALS,Ankol,Sage Leaved Alangium,Alangium salviifolium,अंकोल,Tree,https://drive.google.com/file/d/1KSs_UZvhkoghTWM349QQFmbR8HtOf0y8/view?usp=sharing,Rohit Thomas Issac,Root,"Its mostly found in dry regions in plains, near sandy riverine tracts, and low hills, and also found on roadsides. The flowers are bird and bee pollinated. It is mainly pollinated by pale-billed flowerpecker, purple-rumped sunbird, purple sunbird, and two large carpenter bee species. The birds that feed on the fruits are common myna, babblers, and rose-ringed parakeets. This is the host plant of the larvae of a rare Western Ghat hawkmoth. The wood is used to make ornamental work, pestles and rollers and also is good as a fuel wood. The twigs are also used as toothbrush in India. Ankol has been used in the treatment of skin cancers, for the treatment of rheumatism, and haemorrhoid. It is also used locally for the treatment of snakebite, scorpion bite as well as for dog bite.",IG- @thomasdoes.art
19,[object Object],8 NATURALS,Umbar,,Ficus racemosa,उंबर,Tree,https://drive.google.com/file/d/1G6ku8lPavBQMj8XhvO3h_8wVP7IMYrYW/view?usp=sharing,Medha Bhagwat,,,IG- @_medhu_vada_
15,[object Object],8 NATURALS,Avla,,Phyllanthus emblica,आवळा,Tree,https://drive.google.com/file/d/1FkprGIbSQMFBcSWB-AnGuXPpLAp1CFhm/view?usp=sharing,Rohit Thomas Issac,,,IG- @thomasdoes.art
22,[object Object],8 NATURALS,Ain,,Terminalia tomentosa,ऐन,Tree,https://drive.google.com/file/d/15CjVbhzMAkWLMfjqdJ2Ld5ompmTdSeJp/view?usp=sharing,Rohit Thomas Issac,,,IG- @thomasdoes.art
23,[object Object],8 NATURALS,Kawath,,Limonia acidissima,कवठ,Tree,https://drive.google.com/file/d/1swiChxXqJe2LiHOdSNCIN3TNuw8ySOCl/view?usp=sharing,Vatsala,,,
24,[object Object],8 NATURALS,Kalam,,mitragyna parvifolia,कळम,Tree,https://drive.google.com/file/d/1EDiO1Sw9bkcOCeK_nH7wNeDt7uO5bube/view?usp=drive_link,Aparna Sajit,,,
21,[object Object],8 NATURALS,Amba Keshar,,Mangifera indica,आंबा केशर,Tree,https://drive.google.com/file/d/1mR1s7zfPnLVNMVuNx2tnP0YNBFM7Ljov/view?usp=sharing,Rohit Thomas Issac,,,IG- @thomasdoes.art
25,[object Object],8 NATURALS,Karanj,,Pongamia pinnata,करंज,Tree,https://drive.google.com/file/d/1OAONw7k5L6gDJbTlQvCLzkHaZ8jO5iRT/view?usp=drive_link,Aparna Sajit,,,
27,[object Object],8 NATURALS,,,,काळी कांचन,Tree,https://drive.google.com/file/d/19g4jWwYc9T0YHNDC-8Q_mjGyTM0X0B7Q/view?usp=drive_link,Aparna Sajit,,,
26,[object Object],8 NATURALS,Kanher,,Nerium oleander,कण्हेर,Shrub,https://drive.google.com/file/d/1U11LIe5IXGZF8RK-CRFeRzsX79pavVOP/view?usp=sharing,,,,
28,[object Object],8 NATURALS,Bhutya,,Sterculia urens,"कहांडोळ, भुत्या",Tree,https://drive.google.com/file/d/1-efoq3gjtf7sgjC4W1RdPr0uuf1Z9sN-/view?usp=sharing,Aparna Sajit,,,
29,,8 NATURALS,,,Piper betle,कलक पान,Climber,,,,,
30,[object Object],8 NATURALS,Kaju,Cashew,Anacardium occidentale,काजू,Tree,https://drive.google.com/file/d/1Sw7WkLuHnOjeXf5SDSc6nCZFjnH7VDdP/view?usp=sharing,Aparna Sajit,Seed,"The species is native to Northeastern Brazil, and later was distributed around the world in the 1500s by Portuguese explorers. The shell of the cashew seed yields derivatives that can be used in many applications including lubricants, waterproofing, and paints. The tree produces wood that is useful in local economies for such practical items as shipping crates, boats, and charcoal as well as for a gum. The cashew apple is a light reddish to yellow fruit, whose pulp and juice can be processed into a sweet, astringent fruit drink or fermented and distilled into liquor. Cashew milk, a plant milk is an alternative to dairy milk.",
31,[object Object],8 NATURALS,Kala Umbar,,Ficus hispida,काळा उंबर,Tree,https://drive.google.com/file/d/1CVKJU5Up0w1T7vHPuq-BjeFoVnwSBk2v/view?usp=sharing,Aparna Sajit,,,
32,[object Object],8 NATURALS,Khair,"Cutch Tree, Black Catechu",Acacia catechu,खैर,Tree,https://drive.google.com/file/d/1tBjTYPuGCZt2UzfREkDxtdR73SiN6Zh7/view?usp=sharing,Aparna Sajit,Bark,"The leaves and pods of the tree are used as fodder for the livestock. An extract of its heartwood is used as an ingredient to give red color and typical flavor to Paan. The plant has been used in traditional medicine to treat various ailments, including diarrhoea, sore throat, and wounds. Its flowers are a good source of nectar and pollen for bees.",
33,[object Object],8 NATURALS,Satvin,Scholar Tree,Alstonia scholaris,,Tree,https://drive.google.com/file/d/1inTWbFK6FKX9Xust8NLgXmr5niZQVWPo/view?usp=sharing,Aparna Sajit ,Bark,"This is a toxic plant. At high doses, an extract of the plant exhibited marked damage to all the major organs of the body in both rats and mice. At lower doses, the bark is used as an aphrodisiac. When damaged, the bark lets out a sticky milky latex, which is also valued for its medicinal properties. It is used by Indians as traditional medicine to treat diarrhea, dysentery, asthma, and a few types of fevers. The wood of Alstonia scholaris has been recommended for the manufacture of pencils. ",
34,[object Object],8 NATURALS,Kuda,,Holarrhena pubescens,कुडा,Tree,https://drive.google.com/file/d/1TQrgHztSIW8X8xpD3D7TR9JaoinzM__o/view?usp=sharing,Aparna Sajit,,,
36,,8 NATURALS,Lal keli,Red banana,Musa acuminata Red Dacca,केळी लाल,Shrub,,Manish Padhye,,,
37,,8 NATURALS,Kali velchi,Cardamom,Elaichi or Yelakki Bananas,केळी वेलची,Shrub,,,,,
38,[object Object],8 NATURALS,Kali Musali,Golden eye-grass,Curculigo orchioides,काळी मुसळी,Tree,https://drive.google.com/file/d/1MTrQKpiAVbDLlSKTr9rermpqJ0NzH5-8/view?usp=sharing,Aparna Sajit,Root,"Kali Musali is an endangered flowering plant species. The plant is native to India. It holds a special position as a potent aphrodisiac and helps your body respond to stress, anxiety, fatigue and overall wellbeing in Ayurvedic system of medicine. Broadly, it is used to treat diseases such as impotence, limb limpness, gastrointestinal and heart diseases, etc. It is used as a rejuvenating tonic. The leaf tip, when in contact with the soil, develops roots and produces adventitious buds that grow into a new plant. Also, tuber segments of about 2 cm size, containing the apical bud, are collected during February–March and used for propagation. Flowers are bright yellow. It is a shade-loving plant and thrives well in areas that receive high rainfall. Flowering takes place throughout the year. However, fruits and seeds are not used as drug. The drug Kali Musali of Ayurvedic system of medicine is derived from the bitter mucilaginous tuberous roots of Kali Musali. Roots mature in the field in seven to eight months and may be harvested by digging. ",
35,,8 NATURALS,Kamini,,Murraya paniculata,कामिनी,Shrub,,,,,
39,[object Object],8 NATURALS,Kardal,Canna,Canna indica,कर्दळ,Herb,https://drive.google.com/file/d/1GJM4PbghWe58fsyFrO9IOQh0muURHsc_/view?usp=sharing,Manisha Padhye,All parts of the tree,"The seeds are small, globular, black pellets, hard and dense enough to sink in water. During the Indian Mutiny of the 19th century, soldiers used the seeds of a Canna when they ran out of bullets. For seeds to germinate, they must soak in water for two to three days. Cannas suffer from relatively few diseases compared to other species. It has been declared as invasive in some places. Canna was also being cultivated by 2000 BCE by the people of the Casma/Sechin culture in the extremely arid region of coastal Peru, Because Canna indica grows quite tall, it should be cultivated at locations with relatively low wind speed to prevent bending over. Rhizomes are harvested for starch. It is edible and also used as raw materials to produce biodegradable plastics. Canna indica sps. can be used for the treatment of industrial waste waters through constructed wetlands. It is effective for the removal of high organic load, colour and chlorinated organic compounds from paper mill wastewater. The seeds are widely used for jewellery. Rhizomes and Tubers are edible. ",
40,[object Object],8 NATURALS,Kumbha,Wild guava,Careya arborea,कुंभा,Tree,https://drive.google.com/file/d/1AIFSNkuXPQUBUTDEwtVQ_HY-k6kvTm-B/view?usp=sharing,Vanshika Kaila,All parts of the tree,"Leaves of Kumbha turn red in the cold season. Flowers are yellow or white in colour that become large green berries. Flowers and young leaves are eaten as salad greens in Thailand. Young fruit is reported to be edible, though seeds are slightly poisonous. Stem bark of C. arborea is traditionally used in the treatment of tumours, bronchitis, skin disease, epileptic fits, astringents, antidote to snake-venom, abscesses, boil and ulcer. Fruits are used as decoction to promote digestion. Leaves and flowers are used in the form of paste to cure several skin diseases. The plant is a popular herbal remedy in India, where it is often harvested from the wild for local use and trade. The tree also supplies a dye, fibre, gum,etc.",IG- @van.imite
41,[object Object],8 NATURALS,Kusum,Safflower,,कुसुम,Herb,https://drive.google.com/file/d/1DRn5umHFJJZY2SZed7cwrhD1HOtlo53q/view?usp=sharing,Vanshika Kaila,Seed,"Safflower is a herb with toothed leaves and thistle-like orange or yellow flowers. It is an indispensable element of Iranian folklore medicine, with a variety of applications due to laxative effects. Also, it was recommended as treatment for rheumatism, paralysis, poisoning, numb limbs, and the like. Safflower Carrier Oil is cold pressed from the seeds. Safflower Carrier Oil is ideal for hydrating dry or acne-prone skin while soothing irritation, rashes, and inflammation. Seed Oil is an edible vegetable oil. It is used in the formulation of topical skin care lotions, moisturizers and bath products. Safflower may cause an allergic reaction in people who are sensitive. It was used by the early Spanish colonies along the Rio Grande as a substitute for saffron.",IG- @van.imite
